CRASH_ID,CRASH_DT,CRASH_X,CRASH_Y,CRASH_MO_NO,CRASH_DAY_NO,CRASH_YR_NO,CRASH_WK_DAY_CD,CRASH_HR_NO,CITY_SECT_NM,FC_CD,FC_SHORT_DESC,LAT,LONG,ST_FULL_NM,ISECTG_ST_FULL_NM,POST_SPEED_LMT_VAL,RD_CHAR_SHORT_DESC,OFF_RDWY_FLG,ISECT_TYP_SHORT_DESC,ISECT_REL_FLG,RNDABT_FLG,DRVWY_REL_FLG,LN_QTY,TURNG_LEG_QTY,IMPCT_LOC_CD,CRASH_TYP_SHORT_DESC,COLLIS_TYP_SHORT_DESC,CRASH_SVRTY_SHORT_DESC,WTHR_COND_SHORT_DESC,RD_SURF_SHORT_DESC,LGT_COND_SHORT_DESC,TRAF_CNTL_DEVICE_SHORT_DESC,TRAF_CNTL_FUNC_FLG,CRASH_EVNT_1_SHORT_DESC,CRASH_CAUSE_1_SHORT_DESC,RTE_NM,CL_STREET1,CL_STREET2
1228602,1/2/2007 00:00,7679668.00,673859.00,1,2,2007,3,15,Portland SE,16,U MN-ART,45.49728889,-122.5376611,SE 122ND AVE               ,SE POWELL BLVD             ,,ALLEY   ,0,,0,0,0,5,,6,ANGL-OTH  ,TURN    ,PDO,RAIN,WET ,DAY ,L-TURN REF,1,,NO-YIELD,,SE 122ND AVE,SE POWELL BLVD
1229394,3/16/2007 00:00,7679832.00,681152.00,3,16,2007,6,15,Portland SE,16,U MN-ART,45.51695,-122.5377389,SE 122ND AVE               ,SE MORRISON ST             ,,INTER   ,0,CROSS  ,0,0,0,,0,2,ANGL-OTH  ,ANGL    ,PDO,CLR ,DRY ,DAY ,STOP SIGN ,1,,NO-YIELD,,SE 122ND AVE,SE MORRISON ST
1229494,1/10/2007 00:00,7679766.00,677808.00,1,10,2007,4,17,Portland SE,16,U MN-ART,45.50691944,-122.5376611,SE 122ND AVE               ,SE LINCOLN ST              ,,STRGHT  ,0,,1,0,0,2,,6,S-1STOP   ,REAR    ,PDO,CLR ,DRY ,DLIT,UNKNOWN   ,1,,TOO-CLOS,,SE 122ND AVE,SE LINCOLN ST
1230339,2/16/2007 00:00,7679729.00,676497.00,2,16,2007,6,15,Portland SE,16,U MN-ART,45.50418056,-122.5376806,SE 122ND AVE               ,SE DIVISION ST             ,,ALLEY   ,0,,0,0,0,2,,6,ANGL-OTH  ,BACK    ,PDO,UNK ,UNK ,DAY ,UNKNOWN   ,1,,NO-YIELD,,SE 122ND AVE,SE DIVISION ST
1230387,1/11/2007 00:00,7679667.00,673759.00,1,11,2007,5,10,Portland SE,16,U MN-ART,45.49666944,-122.5376694,SE 122ND AVE               ,SE POWELL BLVD             ,,STRGHT  ,0,,0,0,0,4,,8,O-STRGHT  ,HEAD    ,INJ,CLR ,ICE ,DAY ,UNKNOWN   ,1,FORCED    ,TOO-FAST,,SE 122ND AVE,SE POWELL BLVD
1230415,2/27/2007 00:00,7679808.00,679282.00,2,27,2007,3,21,Portland SE,16,U MN-ART,45.51181944,-122.53765,SE 122ND AVE               ,SE MARKET ST               ,,STRGHT  ,0,,1,0,0,2,,8,S-1STOP   ,REAR    ,INJ,RAIN,WET ,DLIT,UNKNOWN   ,1,FORCED    ,TOO-CLOS,,SE 122ND AVE,SE MARKET ST
1231420,2/17/2007 00:00,7679734.00,676617.00,2,17,2007,7,13,Portland SE,16,U MN-ART,45.5045,-122.5376889,SE 122ND AVE               ,SE DIVISION ST             ,,STRGHT  ,1,,0,0,0,2,,7,PRKD MV   ,SS-O    ,PDO,CLR ,DRY ,DAY ,UNKNOWN   ,1,,TIREFAIL,,SE 122ND AVE,SE DIVISION ST
1233281,3/11/2007 00:00,7679728.00,676427.00,3,11,2007,1,17,Portland SE,16,U MN-ART,45.50398889,-122.5376806,SE 122ND AVE               ,SE DIVISION ST             ,,ALLEY   ,0,,0,0,0,2,,8,ANGL-OTH  ,TURN    ,INJ,CLR ,DRY ,DUSK,UNKNOWN   ,1,,NO-YIELD,,SE 122ND AVE,SE DIVISION ST
1234546,3/8/2007 00:00,7679662.00,673509.00,3,8,2007,5,22,Portland SE,16,U MN-ART,45.49598056,-122.53765,SE 122ND AVE               ,SE POWELL BLVD             ,35,ALLEY   ,0,,0,0,0,2,,8,ANGL-OTH  ,TURN    ,INJ,CLR ,DRY ,DLIT,UNKNOWN   ,1,,NO-YIELD,,SE 122ND AVE,SE POWELL BLVD
1235085,2/13/2007 00:00,7679832.00,681017.00,2,13,2007,3,19,Portland SE,16,U MN-ART,45.51658056,-122.5377194,SE 122ND AVE               ,SE MORRISON ST             ,35,STRGHT  ,0,,0,0,0,4,,7,PED       ,PED     ,INJ,CLR ,DRY ,DLIT,UNKNOWN   ,1,,IN RDWY ,,SE 122ND AVE,SE MORRISON ST
